Date,Open,High,Low,Close,Adj_Close,Volume,Significant_Move
2008-10-31,"2,585.70","2,802.25","2,585.70",2686.95,"2,686.95",-,0
2008-11-03,"2,776.50","2,806.70","2,645.05",2709.35,"2,709.35",-,0
2008-11-04,"2,709.25","2,709.25","2,510.50",2589.5,"2,589.50",-,1
2008-11-05,"2,592.10","2,722.95","2,558.75",2589.85,"2,589.85",-,0
2008-11-06,"2,534.30","2,597.35","2,458.45",2489.55,"2,489.55",-,1
2008-11-07,"2,451.30","2,584.00","2,435.30",2550.35,"2,550.35",-,0
2008-11-10,"2,597.30","2,688.45","2,544.25",2672.45,"2,672.45",-,0
2008-11-11,"2,642.80","2,659.45","2,489.60",2514.85,"2,514.85",-,1
2008-11-12,"2,494.75","2,603.60","2,462.15",2511.7,"2,511.70",-,0
2008-11-14,"2,558.35","2,577.40","2,419.00",2449.6,"2,449.60",-,1
2008-11-17,"2,452.15","2,468.25","2,366.10",2454.2,"2,454.20",-,0
2008-11-18,"2,430.75","2,430.75","2,305.95",2321.2,"2,321.20",-,1
2008-11-19,"2,341.55","2,358.00","2,257.95",2277.8,"2,277.80",-,1
2008-11-20,"2,227.55","2,244.50","2,161.00",2212.35,"2,212.35",-,1
2008-11-21,"2,190.55","2,346.80","2,186.30",2328.5,"2,328.50",-,0
2008-11-24,"2,313.00","2,379.80","2,271.35",2349.6,"2,349.60",-,0
2008-11-25,"2,419.30","2,420.75","2,298.30",2310.9,"2,310.90",-,1
2008-11-26,"2,316.60","2,373.65","2,281.60",2364.5,"2,364.50",-,0
2008-11-28,"2,322.20","2,466.90","2,322.20",2449.95,"2,449.95",-,0
2008-12-01,"2,457.10","2,543.40","2,406.10",2420.8,"2,420.80",-,1
2008-12-02,"2,333.40","2,368.95","2,293.95",2356.7,"2,356.70",-,1
2008-12-03,"2,368.40","2,389.30","2,264.55",2300.9,"2,300.90",-,1
2008-12-04,"2,309.85","2,374.55","2,299.75",2368.6,"2,368.60",-,0
2008-12-05,"2,346.95","2,346.95","2,262.15",2275.75,"2,275.75",-,1
2008-12-08,"2,282.60","2,367.25","2,282.60",2304.2,"2,304.20",-,0
2008-12-10,"2,341.75","2,402.35","2,339.30",2391.35,"2,391.35",-,0
2008-12-11,"2,394.25","2,394.25","2,273.45",2294.5,"2,294.50",-,1
2008-12-12,"2,268.65","2,268.65","2,171.85",2211.95,"2,211.95",-,1
2008-12-15,"2,241.10","2,279.80","2,193.20",2201.1,"2,201.10",-,0
2008-12-16,"2,201.30","2,275.35","2,190.65",2265.9,"2,265.90",-,0
2008-12-17,"2,245.60","2,290.65","2,208.55",2218.95,"2,218.95",-,1
2008-12-18,"2,231.30","2,330.85","2,231.30",2320.15,"2,320.15",-,0
2008-12-19,"2,322.85","2,343.85","2,273.65",2329.4,"2,329.40",-,0
2008-12-22,"2,324.80","2,352.50","2,298.40",2317.15,"2,317.15",-,0
2008-12-23,"2,300.45","2,302.65","2,246.20",2259.65,"2,259.65",-,1
2008-12-24,"2,289.70","2,289.70","2,185.95",2195.5,"2,195.50",-,1
2008-12-26,"2,191.65","2,213.15","2,115.70",2126.1,"2,126.10",-,1
2008-12-29,"2,121.40","2,155.70","2,066.70",2146.55,"2,146.55",-,0
2008-12-30,"2,147.70","2,207.70","2,138.30",2197.55,"2,197.55",-,0
2008-12-31,"2,215.60","2,222.65","2,170.00",2187.0,"2,187.00",-,0
2009-01-02,"2,287.45","2,304.00","2,255.15",2262.8,"2,262.80",-,0
2009-01-05,"2,265.35","2,329.50","2,265.35",2318.0,"2,318.00",-,0
2009-01-06,"2,317.90","2,332.35","2,278.85",2312.8,"2,312.80",-,0
2009-01-07,"2,336.75","2,360.55","2,109.40",2178.3,"2,178.30",-,1
2009-01-09,"2,167.05","2,255.55","2,125.65",2210.0,"2,210.00",-,0
2009-01-12,"2,172.55","2,172.55","2,091.25",2108.4,"2,108.40",-,1
2009-01-13,"2,072.25","2,207.80","2,046.30",2181.2,"2,181.20",-,0
2009-01-14,"2,226.95","2,301.75","2,217.50",2262.95,"2,262.95",-,0
2009-01-15,"2,176.20","2,184.15","2,118.75",2173.55,"2,173.55",-,1
2009-01-16,"2,173.10","2,199.30","2,151.80",2190.9,"2,190.90",-,0
2009-01-19,"2,195.30","2,201.20","2,146.50",2171.45,"2,171.45",-,0
2009-01-20,"2,148.30","2,158.55","2,120.20",2145.45,"2,145.45",-,1
2009-01-21,"2,138.95","2,142.85","2,083.05",2097.75,"2,097.75",-,1
2009-01-22,"2,124.85","2,124.85","2,066.45",2106.6,"2,106.60",-,0
2009-01-23,"2,091.75","2,102.45","2,047.30",2065.15,"2,065.15",-,1
2009-01-27,"2,091.95","2,166.65","2,091.95",2147.85,"2,147.85",-,0
2009-01-28,"2,132.75","2,210.90","2,132.75",2201.25,"2,201.25",-,0
2009-01-29,"2,211.45","2,223.40","2,173.10",2204.95,"2,204.95",-,0
2009-01-30,"2,187.35","2,233.80","2,167.80",2225.75,"2,225.75",-,0
2009-02-02,"2,213.85","2,213.85","2,146.25",2157.35,"2,157.35",-,1
2009-02-03,"2,162.20","2,211.40","2,147.50",2178.0,"2,178.00",-,0
2009-02-04,"2,186.35","2,221.85","2,165.80",2175.6,"2,175.60",-,0
2009-02-05,"2,181.65","2,187.35","2,110.70",2129.75,"2,129.75",-,1
2009-02-06,"2,130.15","2,197.55","2,130.15",2185.1,"2,185.10",-,0
2009-02-09,"2,187.20","2,234.70","2,178.00",2221.15,"2,221.15",-,0
2009-02-10,"2,225.80","2,249.60","2,208.80",2234.5,"2,234.50",-,0
2009-02-11,"2,208.45","2,218.10","2,192.35",2209.15,"2,209.15",-,1
2009-02-12,"2,189.80","2,199.25","2,166.30",2178.9,"2,178.90",-,1
2009-02-13,"2,187.25","2,210.95","2,183.25",2191.6,"2,191.60",-,0
2009-02-16,"2,188.25","2,195.55","2,131.50",2138.15,"2,138.15",-,1
2009-02-17,"2,131.80","2,131.80","2,054.35",2074.6,"2,074.60",-,1
2009-02-18,"2,055.35","2,097.35","2,055.35",2074.1,"2,074.10",-,0
2009-02-19,"2,071.95","2,130.40","2,071.95",2124.95,"2,124.95",-,0
2009-02-20,"2,113.15","2,113.15","2,035.85",2062.9,"2,062.90",-,1
2009-02-24,"2,059.15","2,062.40","2,012.25",2052.4,"2,052.40",-,0
2009-02-25,"2,062.90","2,106.70","2,062.90",2102.15,"2,102.15",-,0
2009-02-26,"2,098.80","2,122.60","2,085.50",2110.5,"2,110.50",-,0
2009-02-27,"2,104.80","2,105.60","2,042.25",2094.1,"2,094.10",-,0
2009-03-02,"2,077.60","2,077.60","2,023.75",2041.85,"2,041.85",-,1
2009-03-03,"2,042.30","2,043.30","1,993.80",2002.0,"2,002.00",-,1
2009-03-04,"2,004.45","2,041.40","1,998.20",2029.0,"2,029.00",-,0
2009-03-05,"2,036.35","2,043.35","1,999.70",2010.65,"2,010.65",-,0
2009-03-06,"1,999.90","2,082.00","1,992.80",2073.6,"2,073.60",-,0
2009-03-09,"2,054.95","2,054.95","2,014.25",2022.8,"2,022.80",-,1
2009-03-12,"2,047.05","2,100.75","2,047.05",2068.4,"2,068.40",-,0
2009-03-13,"2,085.30","2,188.40","2,085.30",2184.35,"2,184.35",-,0
2009-03-16,"2,182.05","2,217.50","2,166.05",2211.55,"2,211.55",-,0
2009-03-17,"2,210.00","2,210.00","2,156.95",2173.7,"2,173.70",-,1
2009-03-18,"2,194.50","2,242.90","2,185.05",2199.3,"2,199.30",-,0
2009-03-19,"2,200.70","2,258.85","2,200.70",2239.2,"2,239.20",-,0
2009-03-20,"2,225.10","2,240.85","2,208.25",2229.35,"2,229.35",-,0
2009-03-23,"2,228.80","2,292.45","2,228.80",2286.1,"2,286.10",-,0
2009-03-24,"2,286.70","2,342.00","2,261.30",2283.3,"2,283.30",-,0
2009-03-25,"2,284.25","2,321.40","2,274.55",2300.35,"2,300.35",-,0
2009-03-26,"2,320.45","2,418.40","2,306.85",2387.45,"2,387.45",-,0
2009-03-27,"2,398.40","2,408.40","2,333.60",2387.75,"2,387.75",-,0
2009-03-30,"2,358.50","2,358.50","2,249.45",2267.35,"2,267.35",-,1
2009-03-31,"2,296.00","2,335.60","2,280.25",2318.7,"2,318.70",-,0
